Function,DLL,Occurence,Family,Associated
RtlLookupFunctionEntry,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
RtlNtStatusToDosError,NTDLL,3,{'tetanus': 3}
RtlVirtualUnwind,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
__C_specific_handler,NTDLL,3,{'tetanus': 3}
_stricmp,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
_strnicmp,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
_vsnprintf,NTDLL,3,{'tetanus': 3}
_vsnwprintf,NTDLL,3,{'tetanus': 3}
atoi,NTDLL,3,{'tetanus': 3}
ceil,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
isspace,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
memchr,NTDLL,3,{'tetanus': 3}
memcmp,NTDLL,3,{'tetanus': 3}
memcpy,NTDLL,3,{'tetanus': 3}
memmove,NTDLL,3,{'tetanus': 3}
memset,NTDLL,3,{'tetanus': 3}
qsort,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
sprintf,NTDLL,3,{'tetanus': 3}
sscanf,NTDLL,3,{'tetanus': 3}
strcat,NTDLL,3,{'tetanus': 3}
strchr,NTDLL,3,{'tetanus': 3}
strcmp,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
strcpy,NTDLL,3,{'tetanus': 3}
strcspn,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
strlen,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
strncmp,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
strncpy,NTDLL,3,{'tetanus': 3}
strrchr,NTDLL,3,{'tetanus': 3}
strspn,NTDLL,3,{'tetanus': 3}
strstr,NTDLL,3,{'tetanus': 3}
strtol,NTDLL,3,{'tetanus': 3}
strtoul,NTDLL,4,"{'tetanus': 3, 'athena': 1}"
wcscpy,NTDLL,3,{'tetanus': 3}
wcslen,NTDLL,3,{'tetanus': 3}
wcsstr,NTDLL,3,{'tetanus': 3}
FindWindowA,USER32,3,{'tetanus': 3},Anti-Debugging
GetProcessWindowStation,USER32,3,{'tetanus': 3}
GetUserObjectInformationW,USER32,3,{'tetanus': 3}
MessageBoxW,USER32,4,"{'tetanus': 3, 'athena': 1}"
SendMessageA,USER32,3,{'tetanus': 3},Spying
FreeConsole,KERNEL32,1,{'tetanus': 1}
GetFileAttributesW,KERNEL32,1,{'tetanus': 1}
InitOnceBeginInitialize,KERNEL32,1,{'tetanus': 1}
InitOnceComplete,KERNEL32,1,{'tetanus': 1}
ReadFileEx,KERNEL32,1,{'tetanus': 1}
SetFileTime,KERNEL32,1,{'tetanus': 1},Evasion
WriteFileEx,KERNEL32,1,{'tetanus': 1}
FlushInstructionCache,KERNEL32,1,{'athena': 1}
RtlDeleteFunctionTable,KERNEL32,1,{'athena': 1}
InterlockedPushEntrySList,KERNEL32,1,{'athena': 1}
InterlockedFlushSList,KERNEL32,1,{'athena': 1}
InitializeSListHead,KERNEL32,1,{'athena': 1}
GetTickCount64,KERNEL32,1,{'athena': 1},Anti-Debugging
QueueUserAPC,KERNEL32,1,{'athena': 1},Injection
SetThreadPriority,KERNEL32,1,{'athena': 1},Helper
GetThreadPriority,KERNEL32,1,{'athena': 1}
ResumeThread,KERNEL32,1,{'athena': 1},Injection
WaitForMultipleObjectsEx,KERNEL32,1,{'athena': 1},Evasion
SignalObjectAndWait,KERNEL32,1,{'athena': 1}
GetConsoleOutputCP,KERNEL32,1,{'athena': 1}
MapViewOfFileEx,KERNEL32,1,{'athena': 1},Injection
GetStringTypeExW,KERNEL32,1,{'athena': 1}
SetEvent,KERNEL32,1,{'athena': 1}
GetCurrentProcessorNumber,KERNEL32,1,{'athena': 1}
GlobalMemoryStatusEx,KERNEL32,1,{'athena': 1}
GetQueuedCompletionStatus,KERNEL32,1,{'athena': 1}
InterlockedPopEntrySList,KERNEL32,1,{'athena': 1}
GetCurrentProcessorNumberEx,KERNEL32,1,{'athena': 1}
CreateMemoryResourceNotification,KERNEL32,1,{'athena': 1}
GetProcessAffinityMask,KERNEL32,1,{'athena': 1}
SetThreadIdealProcessorEx,KERNEL32,1,{'athena': 1}
GetThreadIdealProcessorEx,KERNEL32,1,{'athena': 1}
GetLargePageMinimum,KERNEL32,1,{'athena': 1}
VirtualUnlock,KERNEL32,1,{'athena': 1}
SetThreadGroupAffinity,KERNEL32,1,{'athena': 1}
SetThreadAffinityMask,KERNEL32,1,{'athena': 1}
IsProcessInJob,KERNEL32,1,{'athena': 1}
QueryInformationJobObject,KERNEL32,1,{'athena': 1}
K32GetProcessMemoryInfo,KERNEL32,1,{'athena': 1}
VirtualAlloc,KERNEL32,1,{'athena': 1},Injection
VirtualFree,KERNEL32,1,{'athena': 1}
CloseThreadpoolTimer,KERNEL32,1,{'athena': 1}
CreateThreadpoolTimer,KERNEL32,1,{'athena': 1}
SetThreadpoolTimer,KERNEL32,1,{'athena': 1}
GetFileSize,KERNEL32,1,{'athena': 1}
ResetEvent,KERNEL32,1,{'athena': 1}
CreateSemaphoreExW,KERNEL32,1,{'athena': 1}
ReleaseSemaphore,KERNEL32,1,{'athena': 1}
CreateMutexW,KERNEL32,1,{'athena': 1}
GetThreadContext,KERNEL32,1,{'athena': 1},Injection
